その大半をデンマークが領有している、北海とバルト海を分ける半島を何半島というでしょう？,3,1.バルカン半島,2.アナトリア半島,3.ユトランド半島,4.ラブラドル半島
1文字の挿入・削除・置換いずれか1回を行うことを1とする、2つの文字列を一致させるために必要な編集の最低回数のことを、これを考案したロシアの科学者の名前から何距離というでしょう？,2,1.ユークリッド距離,2.レーベンシュタイン距離,3.ブロンスタイン距離,4.ストレフト距離
「花のいのちはみじかくて苦しきことのみ多かりき」という詩を色紙などに好んで書いていたという、『放浪記』『浮雲』『めし』などの代表作で知られる小説家は誰でしょう？,2,1.菊池寛,2.林芙美子,3.佐藤春夫,4.二葉亭四迷
1077年に白河天皇の御願により建立され、京の「六勝寺」の中で最も規模が大きかったとされるものの、応仁の乱により廃絶された、現在の京都市動物園周辺にあったとされる寺院は何でしょう？,4,1.延暦寺,2.光明寺,3.唐招提寺,4.法勝寺
現在、日本の国会における衆議院議員の定数は何人でしょう？,4,1.四百人,2.三百二十五人,3.二百年四十人,4.四百六十五人
ジャガイモはナス科の植物ですが、ナガイモは何科の植物でしょう？,3,1.ナガイモ科,2.ヒルガオ科,3.ヤマイモ科,4.セリ科
小さな穴や突起が多数集まったものを見た際に恐怖を覚える現象のことを、「穴掘り」を意味するギリシャ語から何というでしょう？,1,1.トライポフォビア,2.イレクトゥリキ,3.クリマティスティコ,4.クシローソンバ
春にはその隣にハンノキ滝が現れる、富山県にある日本一の落差350mを誇る滝は何でしょう？,2,1.華厳の滝,2.称名滝,3.白糸の滝,4.吹割の滝
「シンフォニー」の訳語「交響曲」を考案した、明治・大正期の作家は誰でしょう？,3,1.小山内薫,2.島村抱月,3.森鴎外,4.松井須磨子
現在日本で「特定保健用食品」の表示の認可を出している、内閣府の外局はどこでしょう？,1,1.消費者庁,2.公正取引委員会,3.国家公安委員会,4.資源エネルギー庁
鳴門海峡の最狭部に架かる、兵庫県の淡路島と徳島県の大毛島を結ぶ吊り橋は何でしょう？,2,1.神橋,2.大鳴門橋,3.渡月橋,4.照葉大吊橋
1972年のミュンヘンオリンピックで使われた、夏季オリンピック初のマスコットキャラクターは何でしょう？,1,1.バルディ,2.モクロー,3.コケット,4.オッサくん
激しい音を立てながら刀などで打ち合う様子や、激しく議論を戦わせる様子を、2つの擬音を組み合わせた四字熟語で何というでしょう？,2,1.馬耳東風,2.丁々発止,3.慇懃無礼,4.戒驕戒躁
炭酸飲料「ドクターペッパー」に名を残す医師・ペッパーのファーストネームは何でしょう？,3,1.ルイーズ,2.ベルトルト,3.チャールズ,4.クライス
日本の税理士のバッジにデザインされている花は何の花でしょう？,1,1.桜,2.アマリリス,3.チューリップ,4.バラ
